Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",46.704000,17.486000,90.000000,bottom
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.491520,13.670480,180.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.165400,21.900080,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.784000,13.977001,90.000000,top
"D1","SS16","D_SMA_Handsoldering",15.058960,9.606480,180.000000,top
"J1","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",24.899000,32.231000,90.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",2.039000,1.751000,90.000000,top
"J3","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",52.839000,1.751000,180.000000,top
"J4","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",24.899000,1.751000,90.000000,top
"L1","22uH","L_Taiyo-Yuden_NR-60xx_HandSoldering",6.905560,15.509440,-90.000000,top
"Q1","3904","SOT-23-3",16.844000,30.884000,-90.000000,top
"Q2","3904","SOT-23-3",16.844000,25.726000,-90.000000,top
"Q3","3904","SOT-23-3",26.272000,9.413000,90.000000,top
"R1","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.452040,16.154600,0.000000,top
"R2","10K5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.460280,19.288960,-90.000000,top
"R3","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.735000,30.174000,180.000000,top
"R4","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.788000,25.578000,-90.000000,top
"R5","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.722000,28.754000,0.000000,top
"R6","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.475000,25.824000,90.000000,top
"R7","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.518000,25.543000,-90.000000,top
"R8","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.790000,25.913000,90.000000,top
"R9","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.897000,17.497000,180.000000,top
"R10","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.585000,7.997000,-90.000000,top
"R11","91K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.518000,13.191000,-90.000000,top
"R12","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.950000,7.900000,0.000000,top
"U1","AP3012","SOT-23-5_HandSoldering",12.107480,15.584360,90.000000,top
"U2","HV5222","PLCC-44_16.6x16.6mm_P1.27mm",37.599000,16.991000,-90.000000,top
